"pid","hid","sex","age","ghq","opngbha","opngbhb","opngbhc","opngbhd","opngbhe","opngbhf","opngbhg","opngbhh","neigh","isced","highqual","wave"
10087486,8002258,"male",22,0,1,1,1,1,1,1,2,2,"yes","higher voc","further vocational",8
10094083,8002509,"male",54,0,3,2,2,2,2,3,3,2,"mixed","higher voc","further vocational",8
10094113,8002509,"female",52,0,2,1,1,1,2,1,2,2,"yes","low sec-voc","further vocational",8
10094172,8002509,"female",17,0,2,2,2,2,3,2,2,2,"yes","not defined","no further",8
10101942,8002665,"female",66,0,1,2,2,5,2,2,2,2,"yes","primary","no further",8
10101977,8002665,"female",40,2,2,3,5,5,2,1,4,5,"yes","first degree","further non-vocational",8
10103031,8002819,"male",45,9,2,2,2,2,2,2,4,2,"yes","primary","no further",8
10103066,8002819,"female",41,0,2,2,2,2,2,1,2,2,"yes","first degree","further non-vocational",8
10110879,8003122,"female",55,4,2,3,4,2,2,2,2,2,"yes","primary","no further",8
10110909,8003122,"male",52,0,3,2,2,1,1,2,2,3,"yes","low sec-voc","further vocational",8
10110968,8003122,"female",15,2,4,2,3,4,2,4,2,4,"yes","not defined","no further",8
10111999,8003289,"female",56,0,2,2,4,3,2,2,2,2,"yes","higher voc","further vocational",8
10112022,8003289,"male",28,0,4,4,4,4,4,3,2,4,"mixed","higher degree","further non-vocational",8
10112057,8003289,"female",22,0,2,3,4,3,2,2,2,2,"yes","higher voc","further vocational",8
10112081,8003289,"male",18,0,3,2,3,4,2,2,4,3,"yes","low sec-voc","further vocational",8
10127666,8003645,"female",52,2,1,1,1,4,2,2,2,1,"yes","higher voc","further vocational",8
10127704,8003645,"male",48,1,2,3,3,3,2,2,2,2,"yes","higher voc","further vocational",8
10127763,8003645,"female",22,1,2,2,1,5,1,3,3,4,"yes","first degree","further non-vocational",8
10128816,8003793,"female",57,0,2,2,2,5,2,4,4,2,"yes","low sec-voc","further vocational",8
10129936,8003955,"female",34,0,3,4,4,4,3,4,3,3,"yes","higher voc","further vocational",8
10137742,8004102,"male",43,0,2,2,4,4,2,2,2,4,"yes","higher voc","further vocational",8
10138862,8004218,"male",57,0,1,2,1,2,1,1,1,1,"yes","low sec-voc","further vocational",8
10138897,8004218,"female",55,0,1,1,1,1,1,1,1,1,"yes","low sec-voc","further vocational",8
10141138,8004315,"male",39,9,4,2,3,3,2,3,3,3,"mixed","hisec mivoc","further vocational",8
40073157,8004315,"male",36,3,4,4,5,5,3,2,5,4,"mixed","primary","no further",8
10142223,8004463,"male",74,0,1,1,2,2,2,1,1,1,"yes","primary","no further",8
10160132,8004625,"female",68,1,2,2,2,2,1,1,2,1,"yes","higher voc","further vocational",8
10163492,8004676,"female",45,2,2,1,2,5,5,3,-1,2,"yes","primary","no further",8
10164243,8004722,"female",68,0,2,2,4,4,2,2,2,2,"yes","primary","no further",8
10164278,8004722,"male",67,0,2,1,2,2,2,2,2,2,"yes","higher voc","further vocational",8
10166858,8004838,"male",34,12,4,3,4,4,4,5,4,3,"yes","higher voc","further vocational",8
10171339,8004935,"male",65,NA,-7,-7,-7,-7,-7,-7,-7,-7,NA,NA,NA,8
10171363,8004935,"female",67,0,2,1,2,3,1,4,2,2,"yes","higher voc","further vocational",8
10174699,8005036,"male",62,9,2,2,2,2,2,2,2,2,"yes","low sec-voc","further vocational",8
10174729,8005036,"female",55,11,4,2,4,4,2,3,3,3,"mixed","higher voc","further vocational",8
10174753,8005036,"male",24,1,4,3,4,4,2,1,3,2,"mixed","higher voc","further vocational",8
10183647,8005303,"female",71,1,2,2,3,5,4,2,2,2,"no","primary","no further",8
10184767,8005354,"female",70,0,2,2,3,4,4,2,2,2,"yes","higher voc","further vocational",8
10185887,8005419,"male",64,0,2,2,2,2,2,2,2,4,"yes","first degree","further non-vocational",8
10185917,8005419,"female",54,0,1,1,2,2,2,2,2,2,"yes","higher voc","further vocational",8
10187006,8005524,"female",74,0,1,1,1,2,2,1,3,1,"yes","primary","no further",8
10188126,8005575,"female",48,6,2,3,2,2,2,2,3,3,"yes","higher degree","further non-vocational",8
10188509,8005621,"male",50,0,2,3,2,2,2,2,3,2,"yes","first degree","further non-vocational",8
10192603,8005729,"male",53,2,2,3,2,2,2,1,3,2,"yes","higher voc","further vocational",8
10192638,8005729,"female",50,NA,-7,-7,-7,-7,-7,-7,-7,-7,NA,NA,NA,8
10192697,8005729,"female",21,0,1,3,4,2,3,2,4,3,"yes","hisec mivoc","further vocational",8
10197087,8005885,"female",50,5,1,2,3,1,2,3,3,2,"yes","first degree","further non-vocational",8
10200436,8005931,"female",40,2,2,2,2,4,2,2,2,2,"yes","higher voc","further vocational",8
10200479,8005931,"male",37,2,2,2,2,2,2,2,2,2,"yes","higher degree","further non-vocational",8
10204911,8006199,"male",77,NA,-7,-7,-7,-7,-7,-7,-7,-7,NA,NA,NA,8
10208283,8006296,"male",43,0,2,2,2,2,4,2,3,2,"yes","hisec mivoc","further vocational",8
10210512,8006393,"male",41,0,2,3,2,2,2,2,3,2,"yes","low sec-voc","further vocational",8
10210547,8006393,"female",38,4,1,2,2,2,2,2,2,2,"yes","low sec-voc","further vocational",8
10211632,8006601,"male",44,0,2,2,2,2,2,3,4,2,"mixed","first degree","further non-vocational",8
40109127,8006601,"female",34,0,2,2,2,2,2,3,4,2,"yes","low sec-voc","further vocational",8
10212752,8006768,"female",62,0,2,3,4,2,2,2,4,2,"yes","higher voc","further vocational",8
10246401,8006865,"male",31,0,3,2,2,2,3,4,2,2,"mixed","higher voc","further vocational",8
80069398,8006865,"female",25,0,4,4,3,2,2,4,4,3,"mixed","first degree","further non-vocational",8
10253068,8006911,"female",42,1,3,2,3,3,2,2,3,1,"no","higher voc","further vocational",8
50111175,8006911,"male",32,0,3,3,2,2,2,2,2,2,"yes","low sec-voc","further vocational",8
10254188,8007063,"male",71,0,1,2,3,2,2,2,3,1,"yes","first degree","further non-vocational",8
10254218,8007063,"female",60,3,2,2,3,2,2,2,3,2,"yes","higher degree","further non-vocational",8
10256423,8007179,"female",83,3,1,4,4,4,2,2,2,4,"yes","primary","no further",8
10267611,8007225,"female",43,0,1,2,4,5,1,1,3,1,"yes","first degree","further non-vocational",8
10273956,8007373,"male",35,0,2,2,2,2,2,2,2,2,"yes","higher degree","further non-vocational",8
10276572,8007438,"male",43,1,3,3,1,3,2,1,3,3,"yes","first degree","further non-vocational",8
10276602,8007438,"female",40,6,2,4,3,3,2,1,1,3,"yes","higher voc","further vocational",8
10278842,8007535,"female",45,12,2,2,2,2,2,2,2,2,"mixed","low sec-voc","further vocational",8
10278818,8007586,"male",47,NA,-7,-7,-7,-7,-7,-7,-7,-7,NA,NA,NA,8
10301208,8007748,"male",42,0,2,2,3,1,1,2,3,2,"yes","first degree","further non-vocational",8
10301232,8007748,"female",37,8,2,1,3,1,1,4,3,2,"yes","first degree","further non-vocational",8
10303472,8007845,"female",39,10,4,3,4,4,4,5,-1,2,"mixed","higher voc","further vocational",8
10303502,8007845,"male",21,7,2,2,2,2,1,5,2,1,"no","primary","no further",8
10303537,8007845,"female",20,12,3,4,4,4,1,5,4,3,"no","primary","no further",8
10303561,8007845,"male",18,12,2,3,4,4,2,5,5,2,"no","not defined","no further",8
10303596,8007845,"male",16,2,4,2,2,1,1,5,3,2,"no","primary","no further",8
50124668,8007845,"male",19,7,2,2,4,5,1,3,3,3,"mixed","low sec-voc","further vocational",8
10307923,8008205,"male",64,0,2,3,3,4,3,2,2,2,"mixed","low sec-voc","further vocational",8
10307982,8008205,"male",24,0,2,3,2,3,2,3,4,2,"no","primary","no further",8
70109591,8008205,"female",33,3,2,2,2,4,2,2,2,3,"yes","higher voc","further vocational",8
10309047,8008353,"male",39,6,2,3,4,2,2,2,2,2,"yes","first degree","further non-vocational",8
10309071,8008353,"female",38,0,4,2,2,2,2,2,3,2,"no","higher voc","further vocational",8
10313516,8008612,"male",41,1,3,3,4,4,2,3,3,2,"mixed","low sec-voc","further vocational",8
10313559,8008612,"female",39,NA,2,2,2,2,2,2,2,3,"yes","low sec-voc","further vocational",8
10313583,8008612,"male",17,5,2,2,1,1,2,4,3,3,"yes","low sec-voc","further vocational",8
10319123,8008825,"male",52,1,2,2,2,4,2,3,2,2,"yes","hisec mivoc","further vocational",8
10319158,8008825,"female",51,0,2,2,2,2,2,2,3,1,"mixed","low sec-voc","further vocational",8
10319182,8008825,"female",20,0,3,2,2,5,4,1,2,2,"yes","hisec mivoc","further vocational",8
10319212,8008825,"female",18,1,3,2,2,3,2,3,2,2,"yes","low sec-voc","further vocational",8
10319247,8008825,"male",17,10,1,1,1,2,1,2,2,1,"yes","low sec-voc","further vocational",8
10321381,8009074,"female",68,NA,-7,-7,-7,-7,-7,-7,-7,-7,NA,NA,NA,8
10324712,8009503,"male",72,0,3,4,5,5,2,1,2,3,"yes","primary","no further",8
10326952,8009554,"male",38,0,3,2,2,2,2,3,3,3,"yes","first degree","further non-vocational",8
10326987,8009554,"female",36,0,1,2,1,1,1,1,4,2,"yes","higher degree","further non-vocational",8
10340386,8009775,"male",59,8,2,2,2,2,2,2,2,2,"yes","primary","no further",8
10340416,8009775,"female",54,8,2,2,2,2,4,2,2,2,"no","primary","no further",8
10341501,8009929,"male",59,0,4,4,4,2,3,4,4,2,"yes","primary","no further",8
10343741,8009988,"male",43,0,2,1,1,2,2,2,2,1,"mixed","low sec-voc","further vocational",8
10343776,8009988,"female",37,1,2,2,2,2,3,2,4,4,"yes","primary","no further",8
10343806,8009988,"female",18,0,3,2,2,2,2,2,3,2,"yes","hisec mivoc","further vocational",8
10353828,8010196,"male",63,0,2,2,3,5,2,2,2,2,"mixed","low sec-voc","further vocational",8
10353852,8010196,"female",53,4,4,4,4,4,2,4,2,2,"no","low sec-voc","further vocational",8
10353887,8010196,"male",36,0,4,2,2,2,2,4,4,4,"yes","higher voc","further vocational",8
10353917,8010196,"female",28,6,3,4,3,4,4,3,2,4,"no","higher voc","further vocational",8
10356061,8010455,"male",81,1,2,2,2,4,2,2,2,2,"yes","higher voc","further vocational",8
10356096,8010455,"female",57,0,2,2,2,4,3,2,2,2,"yes","higher voc","further vocational",8
10366148,8010552,"female",47,0,1,2,2,2,2,2,2,1,"yes","primary","no further",8
10366172,8010552,"male",45,NA,-7,-7,-7,-7,-7,-7,-7,-7,NA,NA,NA,8
10366202,8010552,"female",16,6,2,2,2,2,1,1,3,1,"mixed","low sec-voc","further vocational",8
10367268,8010765,"female",86,0,3,3,3,5,3,2,4,4,"no","primary","no further",8
10398619,8010919,"female",77,1,2,2,2,3,2,2,2,2,"yes","primary","no further",8
10401962,8010978,"male",38,0,5,3,1,3,1,5,4,2,"no","primary","no further",8
10401997,8010978,"female",36,0,2,1,1,1,1,5,3,2,"no","low sec-voc","further vocational",8
10403086,8011222,"male",46,1,3,3,2,3,1,2,2,2,"mixed","hisec mivoc","further vocational",8
10405321,8011273,"male",54,3,4,2,4,2,4,4,4,4,"mixed","primary","no further",8
10405356,8011273,"female",50,0,4,3,3,4,4,4,4,2,"mixed","primary","no further",8
10405399,8011273,"male",24,0,4,4,3,2,3,5,5,3,"mixed","hisec mivoc","further vocational",8
10405429,8011273,"male",16,0,4,4,3,4,3,5,5,5,"no","primary","no further",8
10408681,8011486,"male",54,7,3,2,2,2,3,4,3,3,"yes","low sec-voc","further vocational",8
10408711,8011486,"female",52,0,2,2,2,4,3,3,4,3,"mixed","higher voc","further vocational",8
10408746,8011486,"male",22,1,3,3,4,4,2,2,2,3,"yes","hisec mivoc","further vocational",8
10409807,8011648,"male",59,0,1,1,1,2,1,1,-1,1,"yes","low sec-voc","further vocational",8
10409831,8011648,"female",68,0,2,3,3,4,2,2,4,2,"yes","primary","no further",8
10414282,8011745,"female",61,NA,-7,-7,-7,-7,-7,-7,-7,-7,NA,NA,NA,8
10414347,8011745,"female",25,0,2,2,2,4,1,-1,2,2,"yes","low sec-voc","further vocational",8
10422129,8012008,"female",42,6,2,2,2,3,3,3,2,2,"mixed","low sec-voc","further vocational",8
10422188,8012008,"female",17,0,2,2,2,2,3,3,2,2,"mixed","low sec-voc","further vocational",8
10427759,8012156,"female",83,NA,1,1,2,4,2,2,2,2,"yes","primary","no further",8
10432191,8012253,"female",34,7,3,2,2,2,2,3,3,2,"mixed","low sec-voc","further vocational",8
10443398,8012369,"male",69,2,3,4,3,5,2,2,3,2,"yes","primary","no further",8
10448993,8012563,"female",39,0,3,2,3,2,2,4,5,2,"mixed","primary","no further",8
10449051,8012563,"male",17,1,3,2,4,5,2,5,4,2,"mixed","low sec-voc","further vocational",8
10453466,8012679,"male",66,0,2,2,2,4,2,1,2,2,"yes","primary","no further",8
10453504,8012679,"female",65,0,1,2,2,5,4,1,1,1,"yes","primary","no further",8
10455701,8012776,"female",66,0,2,2,4,4,2,2,2,4,"mixed","primary","no further",8
10479252,8012989,"female",84,3,2,1,1,1,1,2,1,2,"yes","first degree","further non-vocational",8
10485937,8013144,"male",43,0,2,2,2,2,2,3,2,2,"yes","higher voc","further vocational",8
10485961,8013144,"female",39,0,3,2,2,2,2,3,2,2,"yes","low sec-voc","further vocational",8
10492658,8013241,"male",64,6,1,1,1,2,2,3,3,2,"yes","higher voc","further vocational",8
10492682,8013241,"female",93,NA,-7,-7,-7,-7,-7,-7,-7,-7,NA,NA,NA,8
10498257,8013349,"male",47,0,2,2,2,4,2,2,4,3,"yes","low sec-voc","further vocational",8
10498281,8013349,"female",53,1,2,2,3,4,2,2,2,2,"yes","higher voc","further vocational",8
10498311,8013349,"female",15,7,2,2,1,4,1,4,5,2,"yes","not defined","no further",8
10498346,8013349,"male",19,0,2,3,3,4,3,3,2,2,"yes","hisec mivoc","further vocational",8
10500499,8013578,"male",55,3,2,2,2,3,2,2,2,1,"yes","higher voc","further vocational",8
10503846,8013624,"male",53,0,3,2,2,2,2,2,4,4,"yes","first degree","further non-vocational",8
10503889,8013624,"female",53,0,3,5,1,1,3,2,4,5,"yes","first degree","further non-vocational",8
10513922,8013721,"male",48,4,2,1,1,4,1,1,1,2,"yes","first degree","further non-vocational",8
10515046,8013772,"male",55,0,2,2,4,4,3,2,4,4,"yes","first degree","further non-vocational",8
10515089,8013772,"female",51,0,3,3,3,4,2,1,3,5,"yes","first degree","further non-vocational",8
10515119,8013772,"male",20,1,1,3,4,5,2,5,5,4,"yes","low sec-voc","further vocational",8
10515143,8013772,"female",22,0,3,4,4,5,2,5,3,5,"yes","first degree","further non-vocational",8
10522883,8014035,"male",59,3,2,2,2,2,2,2,2,2,"yes","higher voc","further vocational",8
10522913,8014035,"female",56,1,2,2,2,2,3,2,2,4,"yes","higher voc","further vocational",8
10528482,8014132,"male",58,0,1,1,1,2,2,1,1,1,"yes","primary","no further",8
10528512,8014132,"female",57,1,2,1,2,2,1,1,2,2,"yes","primary","no further",8
10528547,8014132,"female",24,2,1,2,1,3,1,1,1,1,"yes","hisec mivoc","further vocational",8
10531831,8014299,"female",73,1,2,2,1,4,2,1,1,1,"yes","higher voc","further vocational",8
10532951,8014345,"female",57,1,2,3,2,5,2,2,3,2,"yes","low sec-voc","further vocational",8
10541942,8014493,"female",55,0,1,1,1,1,1,2,1,1,"yes","hisec mivoc","further vocational",8
10542019,8014493,"male",16,2,1,2,2,2,2,2,2,2,"yes","low sec-voc","further vocational",8
10543031,8014604,"male",54,1,2,2,1,3,3,3,2,2,"yes","primary","no further",8
10543066,8014604,"female",52,1,2,2,2,2,3,3,4,2,"yes","primary","no further",8
10549757,8014701,"female",67,1,2,2,2,3,3,3,4,2,"yes","higher degree","further non-vocational",8
10558713,8014752,"male",52,0,2,4,4,4,2,1,2,2,"yes","first degree","further non-vocational",8
10558748,8014752,"female",45,9,2,3,2,4,2,2,3,4,"yes","higher degree","further non-vocational",8
10558802,8014752,"male",18,1,3,3,4,4,2,3,3,4,"yes","hisec mivoc","further vocational",8
10559833,8014914,"male",45,0,2,2,2,4,2,2,3,2,"yes","hisec mivoc","further vocational",8
10559868,8014914,"female",42,0,2,2,2,2,2,2,3,2,"yes","higher voc","further vocational",8
10559892,8014914,"female",17,1,3,2,2,4,4,4,4,3,"mixed","low sec-voc","further vocational",8
10560971,8015112,"male",69,1,2,1,2,4,2,2,2,2,"yes","low secondary",NA,8
10561005,8015112,"male",46,10,2,3,4,4,2,2,2,2,"yes","higher degree","further non-vocational",8
10563199,8015228,"male",44,12,4,3,4,4,2,2,3,4,"yes","higher degree","further non-vocational",8
10563229,8015228,"female",42,8,3,4,5,1,1,2,3,4,"yes","first degree","further non-vocational",8
10564306,8015422,"male",59,6,2,1,1,5,2,2,2,3,"yes","higher voc","further vocational",8
10564349,8015422,"female",55,7,2,2,3,2,3,2,2,2,"yes","higher voc","further vocational",8
10564373,8015538,"female",29,1,3,3,4,3,3,3,4,3,"yes","first degree","further non-vocational",8
40267806,8015538,"male",30,6,2,3,3,4,2,2,3,2,"yes","hisec mivoc","further vocational",8
10567666,8015635,"male",89,NA,-7,-7,-7,-7,-7,-7,-7,-7,NA,NA,NA,8
10567704,8015635,"female",71,0,2,2,4,4,2,2,2,2,"yes","low sec-voc","further vocational",8
10575502,8015732,"male",50,0,2,2,2,1,1,1,1,2,"yes","first degree","further non-vocational",8
10575537,8015732,"female",53,5,2,2,2,2,2,2,2,2,"yes","higher voc","further vocational",8
10581103,8015899,"female",60,0,2,2,2,3,2,2,3,2,"yes","higher voc","further vocational",8
10585613,8015996,"male",32,1,3,3,4,4,2,4,4,4,"yes","not defined","no further",8
80162517,8015996,"female",30,0,3,4,2,3,2,4,4,4,"yes","higher voc","further vocational",8
10594531,8016097,"male",58,0,2,2,2,2,2,1,2,2,"yes","low sec-voc","further vocational",8
10594566,8016097,"female",57,1,2,2,2,2,2,2,2,2,"yes","primary","no further",8
10596771,8016194,"male",58,12,2,2,4,4,2,2,2,2,"yes","primary","no further",8
10596801,8016194,"female",55,11,2,2,4,4,-1,2,2,2,"yes","primary","no further",8
10596836,8016194,"male",30,NA,-7,-7,-7,-7,-7,-7,-7,-7,NA,NA,NA,8
10600132,8016356,"male",75,0,1,1,2,4,2,1,3,1,"yes","hisec mivoc","further vocational",8
10600167,8016356,"female",73,3,2,2,3,4,2,2,3,4,"yes","primary","no further",8
10606858,8016453,"male",53,1,3,4,4,3,3,5,4,3,"yes","higher voc","further vocational",8
10606882,8016453,"female",53,6,4,4,4,2,2,4,3,2,"yes","low sec-voc","further vocational",8
10606912,8016518,"male",25,2,3,2,4,4,2,2,3,4,"yes","low sec-voc","further vocational",8
10607978,8016615,"male",42,0,3,2,4,4,2,2,3,2,"yes","low secondary",NA,8
10608001,8016615,"female",38,0,2,2,2,1,2,2,2,2,"yes","higher voc","further vocational",8
10608036,8016615,"male",16,0,2,2,2,2,2,3,2,2,"yes","low sec-voc","further vocational",8
10622527,8017077,"female",55,0,4,2,2,2,2,4,5,2,"yes","low sec-voc","further vocational",8
10623647,8017239,"female",49,11,4,2,4,4,2,2,4,2,"yes","low sec-voc","further vocational",8
10623671,8017239,"male",51,NA,-7,-7,-7,-7,-7,-7,-7,-7,NA,NA,NA,8
10627006,8017344,"female",60,4,1,1,1,4,3,2,2,2,"yes","hisec mivoc","further vocational",8
10627049,8017344,"male",60,0,2,2,3,4,2,1,2,2,"yes","primary","no further",8
10628126,8017441,"male",54,5,2,3,2,3,2,3,2,3,"yes","low sec-voc","further vocational",8
10628169,8017441,"female",54,0,2,2,2,4,2,2,2,2,"yes","higher voc","further vocational",8
10628258,8017441,"male",25,1,3,2,4,5,3,3,3,4,"yes","hisec mivoc","further vocational",8
10631488,8017654,"female",60,0,2,2,2,4,2,2,2,2,"yes","higher voc","further vocational",8
10638202,8017719,"male",59,2,2,2,2,3,2,2,2,2,"yes","primary","no further",8
10638261,8017719,"male",25,0,2,2,2,4,2,4,4,4,"yes","higher voc","further vocational",8
10640436,8017875,"male",58,4,3,3,4,4,2,5,3,2,"yes","primary","no further",8
10640479,8017875,"female",53,0,4,3,4,5,4,4,2,3,"yes","primary","no further",8
10641599,8017972,"female",61,7,2,2,2,3,2,2,2,2,"yes","low sec-voc","further vocational",8
80182607,8017972,"male",17,0,2,2,4,4,2,4,3,2,"yes","hisec mivoc","further vocational",8
10643826,8018073,"female",66,0,2,2,2,2,2,2,3,2,"yes","first degree","further non-vocational",8
10644911,8018189,"female",81,0,2,2,2,4,4,2,2,1,"yes","primary","no further",8
10646108,8018235,"male",28,1,3,3,3,3,3,5,3,1,"yes","first degree","further non-vocational",8
10647163,8018383,"female",86,0,1,1,2,4,3,1,1,1,"yes","higher voc","further vocational",8
10648283,8018448,"male",81,0,2,4,2,4,4,2,3,4,"yes","low sec-voc","further vocational",8
10653872,8018499,"male",49,0,3,2,2,1,2,3,2,2,"yes","primary","no further",8
10653902,8018499,"female",47,1,2,2,2,2,2,2,2,2,"yes","low sec-voc","further vocational",8
10653937,8018499,"male",24,0,2,2,2,2,2,3,3,2,"yes","higher voc","further vocational",8
10653961,8018499,"male",23,0,2,2,3,4,3,3,4,4,"yes","higher voc","further vocational",8
10653996,8018499,"female",19,10,2,2,4,4,2,2,2,2,"yes","low sec-voc","further vocational",8
10656111,8018758,"female",33,2,2,3,2,2,2,2,2,2,"yes","low secondary",NA,8
10656146,8018758,"male",33,1,3,3,2,4,2,2,2,3,"yes","low sec-voc","further vocational",8
10660593,8019053,"male",61,1,2,1,2,2,2,1,1,2,"yes","primary","no further",8
10660623,8019053,"female",62,1,3,2,1,5,3,1,1,3,"yes","higher voc","further vocational",8
10660682,8019053,"male",88,NA,2,4,3,2,3,4,2,2,"yes","primary","no further",8
10660712,8019053,"female",92,NA,2,2,2,2,2,2,2,2,"yes","primary","no further",8
10662863,8019266,"female",35,7,2,4,2,2,4,4,2,4,"yes","low sec-voc","further vocational",8
10663959,8019525,"male",47,0,2,3,2,3,2,2,3,4,"yes","primary","no further",8
10663983,8019525,"female",49,0,2,1,2,4,3,1,1,1,"yes","primary","no further",8
10664041,8019525,"female",19,5,3,2,5,3,3,5,5,4,"yes","higher voc","further vocational",8
10669558,8019738,"female",69,12,2,3,2,4,2,-1,2,2,"yes","primary","no further",8
10669582,8019738,"female",45,10,2,2,3,3,2,-1,3,1,"yes","higher voc","further vocational",8
10670696,8019835,"female",87,10,2,3,2,4,4,2,2,4,"yes","primary","no further",8
10676279,8019932,"female",74,0,3,2,2,2,2,-1,2,2,"yes","low sec-voc","further vocational",8
10679626,8019983,"female",59,0,1,2,2,2,2,1,3,2,"yes","higher voc","further vocational",8
10679669,8019983,"male",59,1,1,1,1,1,2,1,1,1,"yes","higher voc","further vocational",8
10684107,8020132,"male",50,0,3,4,2,5,3,1,3,5,"yes","low sec-voc","further vocational",8
10684131,8020132,"female",49,1,2,1,2,2,2,2,4,1,"yes","higher voc","further vocational",8
10684166,8020132,"male",20,0,2,2,4,4,3,5,5,3,"yes","low sec-voc","further vocational",8
10684204,8020132,"female",17,0,2,4,2,2,4,4,4,2,"yes","hisec mivoc","further vocational",8
10688587,8020345,"male",64,1,2,2,2,2,2,1,2,2,"yes","low sec-voc","further vocational",8
10688617,8020345,"female",62,0,3,2,2,2,2,2,4,2,"yes","higher voc","further vocational",8
10689702,8020442,"male",50,0,2,2,3,2,2,1,2,2,"yes","first degree","further non-vocational",8
10689737,8020442,"female",47,0,1,1,1,2,2,1,1,2,"yes","higher degree","further non-vocational",8
10689796,8020442,"male",21,4,2,2,2,2,2,4,2,1,"yes","hisec mivoc","further vocational",8
10689826,8020442,"female",19,0,2,2,2,2,2,3,3,3,"yes","hisec mivoc","further vocational",8
10690816,8020701,"male",50,0,3,3,2,3,3,2,2,3,"yes","first degree","further non-vocational",8
10695303,8020752,"male",84,1,2,2,2,2,2,2,2,2,"yes","primary","no further",8
10695338,8020752,"female",79,2,1,1,1,1,2,1,2,2,"yes","primary","no further",8
10706496,8020868,"female",49,0,3,2,2,2,3,3,4,4,"mixed","low sec-voc","further vocational",8
10709851,8020914,"female",97,0,2,1,1,5,4,2,-1,2,"mixed","primary","no further",8
10716572,8021066,"female",30,0,2,2,2,2,2,3,2,2,"yes","low sec-voc","further vocational",8
10717692,8021163,"male",41,3,2,3,3,4,2,2,2,3,"yes","hisec mivoc","further vocational",8
10717722,8021163,"female",33,1,3,2,2,2,1,1,2,2,"yes","first degree","further non-vocational",8
10722173,8021376,"male",49,0,2,2,2,2,2,2,2,2,"yes","low sec-voc","further vocational",8
10724419,8021422,"male",57,0,2,2,2,2,2,2,3,2,"yes","low sec-voc","further vocational",8
10724443,8021422,"female",53,0,2,2,2,2,2,3,2,2,"yes","higher voc","further vocational",8
10724508,8021422,"female",21,1,1,1,1,1,2,2,3,2,"yes","first degree","further non-vocational",8
10725539,8021538,"male",51,0,3,2,2,3,2,2,3,2,"yes","higher voc","further vocational",8
